 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEOundefined
https://www.medstarhealth.org/services/wellness-and-healthy-living,25,90,67,56.99999999999999,25,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/workers-compensation-outpatient,30,93,75,64,32,93,75,64,undefined
https://www.medstarhealth.org/services/wound-care,26,93,67,64,28.000000000000004,93,67,64,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=A,28.999999999999996,92,75,50,31,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=B,32,92,75,50,38,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=C,28.999999999999996,92,75,50,40,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=D,26,92,75,50,28.000000000000004,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=E,30,92,75,50,30,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=F,28.999999999999996,92,75,50,25,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=G,30,92,75,50,31,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=H,34,92,75,50,32,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=I,28.000000000000004,92,75,50,40,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=J,28.000000000000004,92,75,50,27,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=K,31,92,75,50,40,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=L,28.999999999999996,92,75,50,30,92,75,50,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?character=M,38,92,75,50,28.999999999999996,92,75,50,
